user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
Brown_AD.bin.10	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Puia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Puia;s__	ANI	classification based on placement in class-level tree	GCA_001898505.1, s__Puia sp001898505, 95.0, 79.36, 0.431; GCA_017307755.1, s__Puia sp017307755, 95.0, 78.96, 0.474; GCF_014642875.1, s__Puia dinghuensis, 95.0, 77.6, 0.204; GCA_018267545.1, s__Puia sp018267545, 95.0, 77.45, 0.248; GCA_015655015.1, s__Puia sp015655015, 95.0, 77.32, 0.219	34.29	11	0.954	N/A
Brown_AD.bin.3	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ilyomonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ilyomonas;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	90.83	11	0.93584	N/A
Brown_AD.bin.5	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Jatrophihabitantaceae;g__Jatrophihabitans;s__	N/A	N/A	N/A	N/A	N/A	GCF_900129455.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Jatrophihabitantaceae;g__Jatrophihabitans;s__Jatrophihabitans endophyticus	80.01	0.559	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Jatrophihabitantaceae;g__Jatrophihabitans;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	52.52	11	0.921	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Brown_AD.bin.6	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__	ANI	classification based on placement in class-level tree	GCA_003134045.1, s__Bog-1198 sp003134045, 95.0, 77.21, 0.205; GCA_003164785.1, s__Bog-1198 sp003164785, 95.0, 77.06, 0.207	95.1	11	0.94659	N/A
Brown_AD.bin.9	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VAYN01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VAYN01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017882505.1, s__VAYN01 sp017882505, 95.0, 83.46, 0.602; GCA_013821475.1, s__VAYN01 sp013821475, 95.0, 83.44, 0.637; GCA_016649905.1, s__VAYN01 sp016649905, 95.0, 83.09, 0.616; GCA_018268675.1, s__VAYN01 sp018268675, 95.0, 82.79, 0.716; GCA_018268575.1, s__VAYN01 sp018268575, 95.0, 82.76, 0.72; GCA_018268415.1, s__VAYN01 sp018268415, 95.0, 82.72, 0.661; GCA_005885405.1, s__VAYN01 sp005885405, 95.0, 82.44, 0.606; GCA_018268605.1, s__VAYN01 sp018268605, 95.0, 82.06, 0.661; GCA_018268655.1, s__VAYN01 sp018268655, 95.0, 81.86, 0.63	38.96	11	0.91529	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Brown_AE.bin.1	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__FACHB-T130;g__FACHB-831;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__FACHB-T130;g__FACHB-831;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	81.24	11	0.8572	N/A
Brown_AE.bin.11	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__Dictyobacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__Dictyobacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	88.56	11	0.94073	N/A
Brown_AE.bin.2	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__KBS-83;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__KBS-83;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	91.22	11	0.90215	N/A
Brown_AE.bin.3	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Palsa-1515;s__	N/A	N/A	N/A	N/A	N/A	GCA_903970385.1	95.0	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Palsa-1515;s__Palsa-1515 sp903970385	77.63	0.318	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Palsa-1515;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	54.15	11	0.93295	N/A
Brown_AE.bin.4	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__CAHJWO01;s__	N/A	N/A	N/A	N/A	N/A	GCA_903642295.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__CAHJWO01;s__CAHJWO01 sp903642295	78.03	0.342	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__CAHJWO01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	45.06	11	0.89343	N/A
Brown_AE.bin.5	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_D;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	87.39	11	0.95306	N/A
Brown_AE.bin.6	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Palsa-1515;s__	N/A	N/A	N/A	N/A	N/A	GCA_903970385.1	95.0	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Palsa-1515;s__Palsa-1515 sp903970385	78.86	0.464	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Palsa-1515;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	81.53	11	0.93145	N/A
Brown_AE.bin.7	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Capsulimonadaceae;g__JAFAZD01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Capsulimonadaceae;g__JAFAZD01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	60.25	11	0.86246	N/A
Brown_AE.bin.8	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rouxiella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rouxiella;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	81.31	11	0.97198	N/A
Brown_AF.bin.2	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	49.9	11	0.89411	N/A
Brown_AF.bin.4	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus;s__	ANI	classification based on placement in class-level tree	GCF_000265425.1, s__Terriglobus roseus, 95.0, 77.35, 0.3; GCF_900105625.1, s__Terriglobus roseus_B, 95.0, 77.27, 0.278	42.99	11	0.94552	N/A
Brown_AF.bin.5	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	36.83	11	0.91458	N/A
Brown_J.bin.1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Tous-C9LFEB;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Tous-C9LFEB;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	74.9	11	0.96321	N/A
Brown_J.bin.2	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__DTNP01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__DTNP01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	88.2	11	0.87891	N/A
Brown_J.bin.3	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__PALSA-350;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__PALSA-350;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	88.6	11	0.9621	N/A
Brown_J.bin.4	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	N/A	N/A	N/A	N/A	N/A	GCA_903644035.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__CAHJXG01 sp903644035	82.81	0.416	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	56.33	11	0.97027	N/A
Brown_J.bin.5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__	ANI	classification based on placement in class-level tree	GCF_015221995.1, s__Mucilaginibacter boryungensis, 95.0, 77.97, 0.329; GCF_013283875.1, s__Mucilaginibacter mali, 95.0, 77.65, 0.348; GCF_015222005.1, s__Mucilaginibacter myungsuensis, 95.0, 76.91, 0.201; GCF_007971525.1, s__Mucilaginibacter ginsenosidivorax, 95.0, 76.72, 0.079	88.94	11	0.94868	N/A
Brown_J.bin.6	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter_A;s__	N/A	N/A	N/A	N/A	N/A	GCF_009754915.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter_A;s__Mucilaginibacter_A arboris	80.44	0.557	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_903642215.1, s__Mucilaginibacter_A sp903642215, 95.0, 80.45, 0.541	88.09	11	0.96442	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Brown_J.bin.7	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Capsulimonadaceae;g__JAFAZD01;s__	N/A	N/A	N/A	N/A	N/A	GCA_019239955.1	95.0	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Capsulimonadaceae;g__JAFAZD01;s__JAFAZD01 sp019239955	78.11	0.335	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Capsulimonadaceae;g__JAFAZD01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	79.9	11	0.87331	N/A
Brown_J.bin.8	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Iningainema;s__	N/A	N/A	N/A	N/A	N/A	GCF_014698965.1	95.0	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Iningainema;s__Iningainema tapete	78.13	0.319	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Iningainema;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	59.37	11	0.91356	Genome has more than 10.0% of markers with multiple hits
Brown_J.bin.9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__BOG-908;s__	N/A	N/A	N/A	N/A	N/A	GCA_903643085.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__BOG-908;s__BOG-908 sp903643085	79.25	0.371	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__BOG-908;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003133065.1, s__BOG-908 sp003133065, 95.0, 78.02, 0.362	52.84	11	0.95176	N/A
Brown_K.bin.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CAJCIC01;s__	N/A	N/A	N/A	N/A	N/A	GCA_903970185.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CAJCIC01;s__CAJCIC01 sp903970185	78.05	0.282	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CAJCIC01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	69.62	11	0.92565	N/A
Brown_K.bin.2	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Methylacidiphilales;f__UBA1321;g__JABDGH01;s__	N/A	N/A	N/A	N/A	N/A	GCA_903970275.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Methylacidiphilales;f__UBA1321;g__JABDGH01;s__JABDGH01 sp903970275	78.79	0.438	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Methylacidiphilales;f__UBA1321;g__JABDGH01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_903863295.1, s__JABDGH01 sp903863295, 95.0, 77.66, 0.264; GCA_903970335.1, s__JABDGH01 sp903970335, 95.0, 77.39, 0.221; GCA_013285645.1, s__JABDGH01 sp013285645, 95.0, 77.38, 0.104	56.57	11	0.91313	N/A
Brown_K.bin.3	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__	ANI	classification based on placement in class-level tree	GCA_002413785.1, s__Mucilaginibacter sp002413785, 95.0, 78.02, 0.261; GCA_013288235.1, s__Mucilaginibacter sp013288235, 95.0, 77.73, 0.211; GCA_903864275.1, s__Mucilaginibacter sp903864275, 95.0, 77.72, 0.322; GCF_900142915.1, s__Mucilaginibacter sp900142915, 95.0, 77.71, 0.301; GCF_002257585.1, s__Mucilaginibacter xinganensis, 95.0, 77.6, 0.215; GCF_002355435.1, s__Mucilaginibacter gotjawali, 95.0, 77.51, 0.282; GCF_007830615.1, s__Mucilaginibacter frigoritolerans, 95.0, 77.35, 0.22; GCA_903913935.1, s__Mucilaginibacter sp903913935, 95.0, 77.33, 0.202; GCF_014200575.1, s__Mucilaginibacter sp014200575, 95.0, 77.16, 0.202; GCF_900103125.1, s__Mucilaginibacter sp900103125, 95.0, 77.02, 0.202; GCF_900105165.1, s__Mucilaginibacter mallensis, 95.0, 76.99, 0.12; GCA_013288465.1, s__Mucilaginibacter sp013288465, 95.0, 76.94, 0.202; GCF_900101875.1, s__Mucilaginibacter pineti, 95.0, 76.94, 0.1; GCF_014200495.1, s__Mucilaginibacter sp014200495, 95.0, 76.91, 0.207; GCF_900110415.1, s__Mucilaginibacter sp900110415, 95.0, 76.8, 0.105; GCF_007971525.1, s__Mucilaginibacter ginsenosidivorax, 95.0, 76.79, 0.09; GCF_011089895.1, s__Mucilaginibacter inviolabilis, 95.0, 76.79, 0.096; GCF_013149275.1, s__Mucilaginibacter sp013149275, 95.0, 76.71, 0.099; GCF_003664165.1, s__Mucilaginibacter sp003664165, 95.0, 76.7, 0.091	70.61	11	0.95776	N/A
